date,new_confirmed,new_deceased,recovery_rate
2020-03-31,4804,704,0.012927225898038616
2020-04-30,148260,25497,0.01254203409658062
2020-05-31,85028,10525,0.013271997062763451
2020-06-30,28871,2615,0.013774987612951515
2020-07-31,34339,938,0.014733173585226947
2020-08-31,66085,603,0.015008715355319452
2020-09-30,295320,1530,0.015068451669122221
2020-10-31,1156611,10510,0.015009286691086216
2020-11-30,1216752,25808,0.014825650300677628
2020-12-31,2013142,32107,0.014905351392227062
2021-01-31,2446796,67596,0.014728471182081378
2021-02-28,686882,28206,0.01452493453902495
2021-03-31,336082,5942,0.014879124371453892
2021-04-30,148857,1308,0.015013829799918763
2021-05-31,150099,572,0.015089202996162893
2021-06-30,722982,833,0.015129473303091742
2021-07-31,2121296,3495,0.015121969437939822
2021-08-31,1964949,6307,0.015098307292975616
2021-09-30,2035246,8120,0.01508649364285907
2021-10-31,2527446,8411,0.015096518246548016
2021-11-30,2454272,8387,0.015095163486228433
2021-12-31,6612392,7703,0.015129280006659222
2022-01-31,7460620,16047,0.015114345749387113
2022-02-28,2816421,9875,0.015093816677237257
2022-03-31,4453612,11298,0.015108500192260815
2022-04-30,1606235,14375,0.015011367768592715
2022-05-31,411863,5097,0.014959474789928746
2022-06-30,389886,1603,0.015084649224157512
2022-07-31,529609,4658,0.015013705426297562
2022-08-31,150922,3197,0.014826065923835919
2022-09-30,43050,550,0.014953410450709864
